date,cultivar,n_stolon_primary_mean,n_stolon_secondary_mean,n_stolon_tertiary_mean,n_stolon_quaternary_mean,n_dp_alt_primary_mean,n_dp_alt_secondary_mean,n_dp_alt_tertiary_mean,n_dp_alt_quaternary_mean,n_dp_mid_primary_mean,n_dp_mid_secondary_mean,n_dp_mid_tertiary_mean,n_dp_mid_quaternary_mean,n_dp_total_alt_mean,n_dp_total_mid_mean,n_flowers_total_mean,n_flowers_mp_mean,n_flowers_dp_mean,stolon_length_primary_cm_mean,crown_diameter_mm_mean,n_stolon_primary_se,n_stolon_secondary_se,n_stolon_tertiary_se,n_stolon_quaternary_se,n_dp_alt_primary_se,n_dp_alt_secondary_se,n_dp_alt_tertiary_se,n_dp_alt_quaternary_se,n_dp_mid_primary_se,n_dp_mid_secondary_se,n_dp_mid_tertiary_se,n_dp_mid_quaternary_se,n_dp_total_alt_se,n_dp_total_mid_se,n_flowers_total_se,n_flowers_mp_se,n_flowers_dp_se,stolon_length_primary_cm_se,crown_diameter_mm_se,n_stolon_primary_n,n_stolon_secondary_n,n_stolon_tertiary_n,n_stolon_quaternary_n,n_dp_alt_primary_n,n_dp_alt_secondary_n,n_dp_alt_tertiary_n,n_dp_alt_quaternary_n,n_dp_mid_primary_n,n_dp_mid_secondary_n,n_dp_mid_tertiary_n,n_dp_mid_quaternary_n,n_dp_total_alt_n,n_dp_total_mid_n,n_flowers_total_n,n_flowers_mp_n,n_flowers_dp_n,stolon_length_primary_cm_n,crown_diameter_mm_n
2025-04-23,Ruby June,5.0,0.6666666666666666,0.0,0.0,3.3333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,7.0,0.0,72.87777777666668,,0.5773502691896258,0.33333333333333337,0.0,0.0,0.8819171036881969,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,1.0,1.0,0.0,5.501660805145711,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-04-30,Albion,3.6666666666666665,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.6666666666666665,3.6666666666666665,0.0,107.2,,0.33333333333333337,0.5773502691896258,0.0,0.0,0.5773502691896258,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,1.1547005383792517,0.0,2.0275875100994067,2.0275875100994067,0.0,7.299315036357864,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-04-30,Cabrio,6.0,2.6666666666666665,0.0,0.0,5.666666666666667,0.6666666666666666,0.0,0.0,0.3333333333333333,2.0,0.0,0.0,6.333333333333333,2.3333333333333335,5.333333333333333,5.333333333333333,0.0,80.52777776666666,,0.5773502691896258,0.6666666666666666,0.0,0.0,0.8819171036881969,0.33333333333333337,0.0,0.0,0.33333333333333337,0.5773502691896258,0.0,0.0,1.2018504251546631,0.6666666666666666,2.728450923957484,2.728450923957484,0.0,4.377619149642987,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-04-30,Camarosa,6.0,5.0,0.0,0.0,7.666666666666667,5.666666666666667,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,13.333333333333334,1.3333333333333333,0.0,0.0,0.0,129.11111123333333,,0.5773502691896258,0.5773502691896258,0.0,0.0,1.7638342073763937,0.6666666666666667,0.0,0.0,1.0,0.33333333333333337,0.0,0.0,1.3333333333333335,0.881917103688197,0.0,0.0,0.0,10.132827750100654,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-04-30,Chandler,6.666666666666667,6.0,0.0,0.0,10.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,0.0,0.0,0.0,0.0,114.61833333333334,,0.33333333333333337,0.5773502691896258,0.0,0.0,0.5773502691896258,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,0.0,0.0,0.0,5.537520754914705,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-04-30,Finn,4.666666666666667,1.6666666666666667,0.0,0.0,6.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,2.0,2.0,0.0,88.23333333333333,,0.6666666666666667,0.6666666666666667,0.0,0.0,0.5773502691896258,0.881917103688197,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,1.2018504251546631,0.0,1.0,1.0,0.0,10.042041338330609,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-04-30,Sensation,7.666666666666667,4.666666666666667,0.0,0.0,7.333333333333333,5.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,12.333333333333334,0.3333333333333333,0.0,0.0,0.0,93.70166666666667,,0.6666666666666667,1.3333333333333333,0.0,0.0,0.8819171036881969,1.5275252316519468,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,2.185812841434,0.33333333333333337,0.0,0.0,0.0,19.66161241551104,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-07,Brilliance,7.0,8.0,0.3333333333333333,0.0,12.0,12.666666666666666,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,25.0,1.3333333333333333,0.0,0.0,0.0,105.46777777666667,,0.0,0.5773502691896258,0.33333333333333337,0.0,2.0,1.7638342073763937,0.33333333333333337,0.0,1.3333333333333335,0.0,0.0,0.0,2.886751345948129,1.3333333333333335,0.0,0.0,0.0,4.265941924140926,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-07,Moxie,6.666666666666667,3.3333333333333335,0.0,0.0,10.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,0.0,14.0,9.0,5.0,81.77222223333332,,2.3333333333333335,0.33333333333333337,0.0,0.0,2.3094010767585034,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,2.6034165586355518,0.0,7.810249675906655,5.196152422706632,2.6457513110645907,8.109575588113165,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
2025-05-07,Portola,4.666666666666667,8.0,0.0,0.0,10.333333333333334,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.333333333333332,0.0,4.333333333333333,4.333333333333333,0.0,128.0594444333333,,0.8819171036881969,1.5275252316519468,0.0,0.0,1.3333333333333335,2.0816659994661326,0.0,0.0,0.0,0.0,0.0,0.0,3.38296385503074,0.0,2.185812841434,2.185812841434,0.0,8.883175740005425,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
