date,cultivar,rep,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-07-02,Brilliance,1,13.0,26.0,10.0,0.0,44.0,96.0,26.0,0.0,8.0,0.0,0.0,0.0,166.0,8.0,0.0,0.0,0.0,203.94,8.298082192
2025-07-02,Brilliance,2,12.0,32.0,14.0,0.0,53.0,109.0,28.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,203.16,7.55033557
2025-07-02,Brilliance,3,13.0,28.0,13.0,0.0,51.0,93.0,29.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,189.6181818,6.0325
2025-04-16,Cabrio,1,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,48.55,
2025-04-16,Cabrio,2,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.9,
2025-04-16,Cabrio,3,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,53.0,
2025-04-30,Cabrio,1,6.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,7.0,7.0,0.0,89.2,
2025-04-30,Cabrio,2,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,9.0,9.0,0.0,77.2333333,
2025-04-30,Cabrio,3,7.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,75.15,
2025-05-14,Cabrio,1,7.0,8.0,1.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,108.95,
2025-05-14,Cabrio,2,6.0,7.0,0.0,0.0,8.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,3.0,4.0,4.0,0.0,119.36,
2025-05-14,Cabrio,3,9.0,7.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,109.6571429,
2025-05-28,Cabrio,1,11.0,16.0,2.0,0.0,22.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,161.4,
2025-05-28,Cabrio,2,8.0,10.0,2.0,0.0,15.0,21.0,2.0,0.0,4.0,0.0,0.0,0.0,38.0,4.0,6.0,6.0,0.0,166.0,
2025-05-28,Cabrio,3,11.0,9.0,1.0,0.0,27.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,155.2,
2025-06-11,Cabrio,1,15.0,20.0,6.0,0.0,36.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,186.8428571,
2025-06-11,Cabrio,2,9.0,14.0,6.0,0.0,24.0,36.0,8.0,0.0,5.0,0.0,0.0,0.0,68.0,5.0,7.0,7.0,0.0,189.4833333,
2025-06-11,Cabrio,3,14.0,14.0,6.0,0.0,41.0,35.0,4.0,0.0,0.0,2.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,181.29,
2025-06-25,Cabrio,1,15.0,23.0,6.0,0.0,57.0,78.0,12.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,176.1454545,11.90741379
2025-06-25,Cabrio,2,9.0,22.0,8.0,0.0,33.0,59.0,16.0,0.0,6.0,0.0,0.0,0.0,108.0,6.0,0.0,0.0,0.0,192.9875,8.643918919
2025-06-25,Cabrio,3,18.0,24.0,3.0,0.0,60.0,59.0,5.0,0.0,0.0,4.0,0.0,0.0,124.0,4.0,0.0,0.0,0.0,207.9909091,11.2297561
2025-04-16,Camarosa,1,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,61.95,
2025-04-16,Camarosa,2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,77.93333333,
2025-04-16,Camarosa,3,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,75.15,
2025-04-30,Camarosa,1,6.0,4.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,108.9666667,
2025-04-30,Camarosa,2,7.0,5.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,137.266667,
2025-04-30,Camarosa,3,5.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,141.1,
2025-05-14,Camarosa,1,8.0,13.0,4.0,0.0,17.0,18.0,5.0,0.0,1.0,2.0,0.0,0.0,40.0,3.0,0.0,0.0,0.0,169.725,
2025-05-14,Camarosa,2,7.0,14.0,2.0,0.0,21.0,22.0,3.0,0.0,0.0,2.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,174.74,
