date,cultivar,trait,mean_value,se_value,n_reps
2025-04-30,Albion,n_stolon_quaternary,0.0,0.0,3
2025-05-14,Albion,n_stolon_quaternary,0.0,0.0,3
2025-05-28,Albion,n_stolon_quaternary,0.0,0.0,3
2025-06-11,Albion,n_stolon_quaternary,0.0,0.0,3
2025-06-25,Albion,n_stolon_quaternary,0.0,0.0,3
2025-04-16,Albion,n_stolon_secondary,0.3333333333333333,0.33333333333333337,3
2025-04-30,Albion,n_stolon_secondary,3.0,0.5773502691896258,3
2025-05-14,Albion,n_stolon_secondary,6.666666666666667,1.2018504251546631,3
2025-05-28,Albion,n_stolon_secondary,9.666666666666666,1.6666666666666667,3
2025-06-11,Albion,n_stolon_secondary,12.0,2.0816659994661326,3
2025-06-25,Albion,n_stolon_secondary,15.666666666666666,2.4037008503093262,3
2025-04-16,Albion,n_stolon_tertiary,0.0,0.0,3
2025-04-30,Albion,n_stolon_tertiary,0.0,0.0,3
2025-05-14,Albion,n_stolon_tertiary,0.3333333333333333,0.33333333333333337,3
2025-05-28,Albion,n_stolon_tertiary,0.6666666666666666,0.33333333333333337,3
2025-06-11,Albion,n_stolon_tertiary,1.3333333333333333,0.3333333333333333,3
2025-06-25,Albion,n_stolon_tertiary,1.6666666666666667,0.3333333333333333,3
2025-04-16,Albion,stolon_length_primary_cm,82.06666666666666,6.759026885909274,3
2025-04-30,Albion,stolon_length_primary_cm,107.2,7.299315036357864,3
2025-05-14,Albion,stolon_length_primary_cm,125.325,2.860543363302389,3
2025-05-28,Albion,stolon_length_primary_cm,150.83833333333334,0.36715497787415774,3
2025-06-11,Albion,stolon_length_primary_cm,169.67083333333335,11.918980690245473,3
2025-06-25,Albion,stolon_length_primary_cm,209.8166666666667,10.920330174088658,3
2025-04-23,Brilliance,crown_diameter_mm,,,0
2025-05-07,Brilliance,crown_diameter_mm,,,0
2025-05-21,Brilliance,crown_diameter_mm,,,0
2025-06-04,Brilliance,crown_diameter_mm,,,0
2025-06-18,Brilliance,crown_diameter_mm,,,0
2025-07-02,Brilliance,crown_diameter_mm,7.2936392539999995,0.6664921645358034,3
2025-04-23,Brilliance,n_dp_alt_primary,5.0,1.0,3
2025-05-07,Brilliance,n_dp_alt_primary,12.0,2.0,3
2025-05-21,Brilliance,n_dp_alt_primary,18.666666666666668,1.3333333333333335,3
2025-06-04,Brilliance,n_dp_alt_primary,31.333333333333332,1.666666666666667,3
2025-06-18,Brilliance,n_dp_alt_primary,40.333333333333336,2.3333333333333335,3
2025-07-02,Brilliance,n_dp_alt_primary,49.333333333333336,2.728450923957484,3
2025-04-23,Brilliance,n_dp_alt_quaternary,0.0,0.0,3
2025-05-07,Brilliance,n_dp_alt_quaternary,0.0,0.0,3
2025-05-21,Brilliance,n_dp_alt_quaternary,0.0,0.0,3
2025-06-04,Brilliance,n_dp_alt_quaternary,0.0,0.0,3
2025-06-18,Brilliance,n_dp_alt_quaternary,0.0,0.0,3
2025-07-02,Brilliance,n_dp_alt_quaternary,0.0,0.0,3
2025-04-23,Brilliance,n_dp_alt_secondary,3.0,0.5773502691896258,3
2025-05-07,Brilliance,n_dp_alt_secondary,12.666666666666666,1.7638342073763937,3
2025-05-21,Brilliance,n_dp_alt_secondary,27.0,3.6055512754639896,3
2025-06-04,Brilliance,n_dp_alt_secondary,54.0,4.509249752822894,3
2025-06-18,Brilliance,n_dp_alt_secondary,78.33333333333333,5.840471822645077,3
2025-07-02,Brilliance,n_dp_alt_secondary,99.33333333333333,4.910306620885413,3
2025-04-23,Brilliance,n_dp_alt_tertiary,0.0,0.0,3
2025-05-07,Brilliance,n_dp_alt_tertiary,0.3333333333333333,0.33333333333333337,3
2025-05-21,Brilliance,n_dp_alt_tertiary,4.666666666666667,1.4529663145135578,3
2025-06-04,Brilliance,n_dp_alt_tertiary,12.0,1.5275252316519468,3
2025-06-18,Brilliance,n_dp_alt_tertiary,21.333333333333332,2.0275875100994067,3
2025-07-02,Brilliance,n_dp_alt_tertiary,27.666666666666668,0.8819171036881969,3
2025-04-23,Brilliance,n_dp_mid_primary,1.0,1.0,3
