date,cultivar,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-06-11,Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-11,Cabrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-11,Camarosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-11,Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-11,Finn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-11,Sensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-18,Brilliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-18,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-18,Portola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-18,Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-18,Ruby June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-25,Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,Cabrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,Camarosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,Finn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,Sensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,Brilliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,Portola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,Ruby June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
